seeds: [862559, 454354, 737532, 275105, 523498], arguments: (env_name='space_invaders', lr=0.0002, epoch=1500, batch_size=32, eval_cycle=25, transitions=2500, episodes=2500, VQVAE_cycle=1, MDP_cycle=750, max_iterations=375, initial_iterations=12000, warmup=25000, min_visits=5, num_envs=6, debug=False)
Epoch: 85, Duration: 18.8209, Steps done w/o warmup: 215172, Epsilon: 27.63%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.1030316352844238, Entropy bonus: -0.4878264367580414
Epoch: 86, Duration: 19.6209, Steps done w/o warmup: 217674, Epsilon: 27.26%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.0070126056671143, Entropy bonus: -0.48956337571144104
Epoch: 87, Duration: 20.5778, Steps done w/o warmup: 220176, Epsilon: 26.89%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.8293254971504211, Entropy bonus: -0.4928402602672577
Epoch: 88, Duration: 18.9229, Steps done w/o warmup: 222678, Epsilon: 26.53%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 2.6874401569366455, Entropy bonus: -0.4828971028327942
Epoch: 89, Duration: 19.9555, Steps done w/o warmup: 225180, Epsilon: 26.17%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.0075430870056152, Entropy bonus: -0.4901186525821686
Epoch: 90, Duration: 19.0979, Steps done w/o warmup: 227682, Epsilon: 25.82%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.148086428642273, Entropy bonus: -0.4862397313117981
Epoch: 91, Duration: 19.4603, Steps done w/o warmup: 230184, Epsilon: 25.48%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 2.642873764038086, Entropy bonus: -0.48525723814964294
Epoch: 92, Duration: 18.5643, Steps done w/o warmup: 232686, Epsilon: 25.14%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.1195995807647705, Entropy bonus: -0.4869721531867981
Epoch: 93, Duration: 17.8736, Steps done w/o warmup: 235188, Epsilon: 24.81%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 2.5060088634490967, Entropy bonus: -0.48848962783813477
Epoch: 94, Duration: 19.4764, Steps done w/o warmup: 237690, Epsilon: 24.48%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.8933681845664978, Entropy bonus: -0.49201342463493347
Epoch: 95, Duration: 19.1605, Steps done w/o warmup: 240192, Epsilon: 24.16%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.1080737113952637, Entropy bonus: -0.48543092608451843
